3,1250,0
1,1312,0
3,1375,0
0,1450,0
3,1500,0
2,1550,0
0,1600,0
1,1678,0
0,1750,0
2,1800,0
1,1875,0
2,1937,0
3,2000,0
0,2000,1,2187
1,2125,1,2250
2,2250,1,2375
0,2375,1,2500
2,2500,1,2625
1,2625,1,2750
3,2750,1,2937
2,2875,1,3062
1,3000,1,3187
3,3125,1,3250
0,3250,1,3375
2,3375,1,3500
1,3500,1,3625
0,3625,1,3750
2,3750,1,3875
1,3875,1,4000
3,4000,1,4187
2,4125,1,4250
0,4250,1,4375
1,4375,1,4500
2,4500,1,4625
0,4625,1,4750
3,4750,1,4875
1,4875,1,5000
2,5000,1,5187
3,5125,1,5250
0,5250,1,5375
2,5375,1,5500
1,5500,1,5625
0,5625,1,5750
3,5750,1,5875
2,5875,1,6000
0,6000,1,6187
2,6125,1,6250
1,6250,1,6375
3,6375,1,6500
0,6500,1,6625
1,6625,1,6750
2,6750,1,6875
3,6875,1,7000
1,7000,1,7187
2,7125,1,7250
0,7250,1,7375
1,7375,1,7500
3,7500,1,7625
1,7625,1,7750
3,7750,1,7937
2,7875,1,8062
0,8000,1,8187
1,8125,1,8250
2,8250,1,8375
0,8375,1,8500
3,8500,1,8625
2,8625,1,8750
1,8750,1,8875
3,8875,1,8937
2,8937,1,9000
0,9000,1,9125
3,9062,1,9187
1,9125,1,9250
2,9250,1,9375
0,9375,1,9500
3,9500,1,9625
1,9625,1,9750
3,9750,1,9875
2,9875,1,10000
0,10000,1,10187
1,10125,1,10250
2,10250,1,10375
0,10375,1,10500
2,10500,1,10625
1,10625,1,10750
3,10750,1,10937
2,10875,1,11062
1,11000,1,11187
3,11125,1,11250
0,11250,1,11375
2,11375,1,11500
1,11500,1,11625
0,11625,1,11750
2,11750,1,11875
1,11875,1,12000
3,12000,1,12187
2,12125,1,12250
0,12250,1,12375
1,12375,1,12500
2,12500,1,12625
0,12625,1,12750
3,12750,1,12875
1,12875,1,13000
2,13000,1,13187
3,13125,1,13250
0,13250,1,13375
2,13375,1,13500
1,13500,1,13625
0,13625,1,13750
3,13750,1,13875
2,13875,1,14000
0,14000,1,14187
2,14125,1,14250
1,14250,1,14375
3,14375,1,14500
0,14500,1,14625
1,14625,1,14750
2,14750,1,14875
3,14875,1,15000
1,15000,1,15187
2,15125,1,15250
0,15250,1,15375
1,15375,1,15500
3,15500,1,15625
1,15625,1,15750
3,15750,1,15937
2,15875,1,16062
0,16000,1,16187
1,16125,1,16281
2,16250,1,16406
0,16375,1,16531
3,16500,1,16656
2,16625,1,16781
1,16750,1,16906
3,16875,1,16937
2,16937,1,17000
0,17000,1,17187
3,17062,1,17250
1,17125,1,17312
2,17250,1,17437
0,17375,1,17562
3,17500,1,17687
1,17625,1,17812
3,17750,1,17937
2,17875,1,18000
1,18000,0
0,18000,0
2,18062,0
3,18062,0
1,18125,0
0,18125,0
3,18187,0
2,18187,0
1,18250,0
0,18250,0
2,18375,0
3,18375,0
1,18375,0
0,18375,0
2,18625,0
3,18625,0
1,18687,0
0,18687,0
2,18750,0
3,18750,0
1,18812,0
0,18812,0
2,18875,0
3,18875,0
3,19000,0
2,19000,0
0,19000,0
1,19000,0
3,19437,1,19500
0,19500,1,19562
1,19562,1,19625
2,19625,1,19687
